site_name,year,common_name,species_name,total_count
 Eerwah Vale, 2015,Tyler's Tree Frog,Litoria tyleri,3
 Eerwah Vale, 2016,Tyler's Tree Frog,Litoria tyleri,8
 Yaroomba, 2018,Tyler's Tree Frog,Litoria tyleri,10
 Coolum, 2020,Tyler's Tree Frog,Litoria tyleri,7
 Eerwah Vale, 2020,Tyler's Tree Frog,Litoria tyleri,2
 Yaroomba, 2020,Tyler's Tree Frog,Litoria tyleri,19
 Yaroomba, 2021,Tyler's Tree Frog,Litoria tyleri,39
 Yaroomba, 2022,Tyler's Tree Frog,Litoria tyleri,43
 MRBBG, 2023,Tyler's Tree Frog,Litoria tyleri,2
 MRBBG, 2024,Tyler's Tree Frog,Litoria tyleri,4
 Yaroomba, 2024,Tyler's Tree Frog,Litoria tyleri,15
 Yaroomba, 2025,Tyler's Tree Frog,Litoria tyleri,15
 Dulong, 2014,Eastern Stony Creek Frog,Litoria wilcoxii,10
 Eerwah Vale, 2015,Eastern Stony Creek Frog,Litoria wilcoxii,24
 Dulong, 2016,Eastern Stony Creek Frog,Litoria wilcoxii,3
 Eerwah Vale, 2016,Eastern Stony Creek Frog,Litoria wilcoxii,2
 Dulong, 2017,Eastern Stony Creek Frog,Litoria wilcoxii,11
 Eerwah Vale, 2017,Eastern Stony Creek Frog,Litoria wilcoxii,4
 Eerwah Vale, 2017,Eastern Stony Creek Frog,LItoria wilcoxii,3
 Dulong, 2018,Eastern Stony Creek Frog,Litoria wilcoxii,8
 Eerwah Vale, 2018,Eastern Stony Creek Frog,Litoria wilcoxii,2
 Dulong, 2019,Eastern Stony Creek Frog,Litoria wilcoxii,17
 Dulong, 2020,Eastern Stony Creek Frog,Litoria wilcoxii,15
 Eerwah Vale, 2020,Eastern Stony Creek Frog,Litoria wilcoxii,3
 Dulong, 2022,Eastern Stony Creek Frog,Litoria wilcoxii,10
 Dulong, 2023,Eastern Stony Creek Frog,Litoria wilcoxii,9
 Dulong, 2024,Eastern Stony Creek Frog,Litoria wilcoxii,19
 Dulong, 2025,Eastern Stony Creek Frog,Litoria wilcoxii,10
 Maleny, 2025,Eastern Stony Creek Frog,Litoria wilcoxii,2
 Eerwah Vale, 2015,Great Barred Frog,Mixophyes fasciolatus,2
 Dulong, 2018,Great Barred Frog,Mixophyes fasciolatus,2
 Dulong, 2022,Great Barred Frog,Mixophyes fasciolatus,8
 Dulong, 2023,Great Barred Frog,Mixophyes fasciolatus,3
 MRBBG, 2023,Great Barred Frog,Mixophyes fasciolatus,6
 MRBBG, 2023,Great Barred Frog,Mixophyes fasciolatus,2
 Dulong, 2024,Great Barred Frog,Mixophyes fasciolatus,6
 MRBBG, 2024,Great Barred Frog,Mixophyes fasciolatus,27
 Dulong, 2025,Great Barred Frog,Mixophyes fasciolatus,17
 Maleny, 2025,Great Barred Frog,Mixophyes fasciolatus,81
 MRBBG, 2025,Great Barred Frog,Mixophyes fasciolatus,9
 Dulong, 2014,Giant Barred Frog,Mixophyes iteratus,3
 Dulong, 2015,Giant Barred Frog,Mixophyes iteratus,3
 Dulong, 2016,Giant Barred Frog,Mixophyes iteratus,12
 Dulong, 2018,Giant Barred Frog,Mixophyes iteratus,2
 Dulong, 2022,Giant Barred Frog,Mixophyes iteratus,3
 Dulong, 2023,Giant Barred Frog,Mixophyes iteratus,4
 Dulong, 2024,Giant Barred Frog,Mixophyes iteratus,6
 Dulong, 2025,Giant Barred Frog,Mixophyes iteratus,12
 Maleny, 2025,Giant Barred Frog,Mixophyes iteratus,46
 Coolum, 2014,Copper-backed Toadlet,Pseudophryne raveni,4
 Coolum, 2015,Copper-backed Toadlet,Pseudophryne raveni,4
 Coolum, 2016,Copper-backed Toadlet,Pseudophryne raveni,4
 Coolum, 2017,Copper-backed Toadlet,Pseudophryne raveni,3
 Coolum, 2018,Copper-backed Toadlet,Pseudophryne raveni,5
 Coolum, 2014,Cane Toad,Rhinella marina,2
 Dulong, 2014,Cane Toad,Rhinella marina,2
 Yaroomba, 2014,Cane Toad,Rhinella marina,5
 Eerwah Vale, 2015,Cane Toad,Rhinella marina,43
 Coolum, 2016,Cane Toad,Rhinella marina,2
 Eerwah Vale, 2016,Cane Toad,Rhinella marina,85
 Sippy Downs, 2016,Cane Toad,Rhinella marina,86
 Yaroomba, 2016,Cane Toad,Rhinella marina,29
 Coolum, 2017,Cane Toad,Rhinella marina,4
 Eerwah Vale, 2017,Cane Toad,Rhinella marina,119
 Yaroomba, 2017,Cane Toad,Rhinella marina,23
 Coolum, 2018,Cane Toad,Rhinella marina,7
 Dulong, 2018,Cane Toad,Rhinella marina,5
 Eerwah Vale, 2018,Cane Toad,Rhinella marina,36
 Sippy Downs, 2018,Cane Toad,Rhinella marina,116
 Yaroomba, 2018,Cane Toad,Rhinella marina,5
 Coolum, 2019,Cane Toad,Rhinella marina,13
 Dulong, 2019,Cane Toad,Rhinella marina,4
 Eerwah Vale, 2019,Cane Toad,Rhinella marina,45
 Sippy Downs, 2019,Cane Toad,Rhinella marina,138
 Yaroomba, 2019,Cane Toad,Rhinella marina,35
 Coolum, 2020,Cane Toad, Rhinella marina,48
 Eerwah Vale, 2020,Cane Toad,Rhinella marina,14
 Sippy Downs, 2020,Cane Toad,Rhinella marina,143
 Yaroomba, 2020,Cane Toad,Rhinella marina,15
 Coolum, 2021,Cane Toad,Rhinella marina,14
 Sippy Downs, 2021,Cane Toad,Rhinella marina,41
 Yaroomba, 2021,Cane Toad,Rhinella marina,35
 Coolum, 2022,Cane Toad,Rhinella marina,5
 Sippy Downs, 2022,Cane Toad,Rhinella marina,19
 Yaroomba, 2022,Cane Toad,Rhinella marina,32
 Coolum, 2023,Cane Toad,Rhinella marina,6
 MRBBG, 2023,Cane Toad,Rhinella marina,21
 Sippy Downs, 2023,Cane Toad,Rhinella marina,21
 Yaroomba, 2023,Cane Toad,Rhinella marina,45
 Coolum, 2024,Cane Toad,Rhinella marina,8
 Dulong, 2024,Cane Toad,Rhinella marina,2
 MRBBG, 2024,Cane Toad,Rhinella marina,31
 Sippy Downs, 2024,Cane Toad,Rhinella marina,73
 Yaroomba, 2024,Cane Toad,Rhinella marina,48
 Coolum, 2025,Cane Toad,Rhinella marina,8
 Dulong, 2025,Cane Toad,Rhinella marina,6
 Maleny, 2025,Cane Toad,Rhinella marina,33
 MRBBG, 2025,Cane Toad,Rhinella marina,11
 Yaroomba, 2025,Cane Toad,Rhinella marina,54
